Column	Fields	Description
1	invoiceId	The unique document ID listed on the invoice PDF.
2	previousInvoiceId	Reference to an original invoice if the line item is a refund.
3	billingAccountId	Unique identifier for the root billing account.
4	billingAccountName	Name of the billing account.
5	billingProfileId	Unique identifier of the EA enrollment, pay-as-you-go subscription or MCA billing profile.
6	billingProfileName	Name of the EA enrollment, pay-as-you-go subscription or MCA billing profile.
7	invoiceSectionId	Unique identifier for the EA department or MCA invoice section.
8	invoiceSectionName	Name of the EA department or MCA invoice section.
9	resellerName	The name of the reseller associated with the subscription.
10	resellerMpnId	ID for the reseller associated with the subscription.
11	costCenter	The cost center defined for the subscription for tracking costs (only available in open billing periods for MCA accounts).
12	billingPeriodEndDate	The end date of the billing period.
13	billingPeriodStartDate	The start date of the billing period.
14	servicePeriodEndDate	The end date of the rating period that defined and locked pricing for the consumed or purchased service.
15	servicePeriodStartDate	The start date of the rating period that defined and locked pricing for the consumed or purchased service.
16	date	The usage or purchase date of the charge.
17	serviceFamily	Service family that the service belongs to.
18	productOrderId	Unique identifier for the product order.
19	productOrderName	Unique name for the product order.
20	consumedService	Name of the service the charge is associated with.
21	meterId	The unique identifier for the meter.
22	meterName	The name of the meter. Purchases and Marketplace usage might be shown as blank or unassigned.
23	meterCategory	Name of the classification category for the meter. For example, Cloud services and Networking. Purchases and Marketplace usage might be shown as blank or unassigned.
24	meterSubCategory	Name of the meter subclassification category. Purchases and Marketplace usage might be shown as blank or unassigned.
25	meterRegion	The name of the Azure region associated with the meter. It generally aligns with the resource location, except for certain global meters that are shared across regions. In such cases, the meter region indicates the primary region of the meter. The meter is used to track the usage of specific services or resources, mainly for billing purposes. Each Azure service, resource, and region have its own billing meter ID that precisely reflects how its consumption and price are calculated.
26	ProductId	Unique identifier for the product.
27	ProductName	Name of the product.
28	SubscriptionId	Unique identifier for the Azure subscription.
29	subscriptionName	Name of the Azure subscription.
30	publisherType	Supported values: Microsoft, Azure, Marketplace. For MCA accounts, the value can be Microsoft for first party charges and Marketplace for third party charges. For EA and pay-as-you-go accounts, the value is Azure.
31	publisherId	The ID of the publisher. It's only available after the invoice is generated.
32	publisherName	The name of the publisher. For first-party services, the value should be listed as Microsoft or Microsoft Corporation.
33	resourceGroupName	Name of the resource group the resource is in. Not all charges come from resources deployed to resource groups. Charges that don't have a resource group are shown as null or empty, Others, or Not applicable.
34	ResourceId	Unique identifier of the Azure Resource Manager resource.
35	resourceLocation	The Azure region where the resource is deployed, also referred to as the datacenter location where the resource is running. For an example using Virtual Machines, see What's the difference between MeterRegion and ResourceLocation.
36	location	The normalized location used to resolve inconsistencies in region names sent by different Azure Resource Providers (RPs). The normalized location is based strictly on the resource location sent by RPs in usage data and is programmatically normalized to mitigate inconsistencies. Purchases and Marketplace usage might be shown as blank or unassigned. For example, US East.
37	effectivePrice	Blended unit price for the period. Blended prices average out any fluctuations in the unit price, like graduated tiering, which lowers the price as quantity increases over time.
38	quantity	The number of units used by the given product or service for a given day.
39	unitOfMeasure	The unit of measure for billing for the service. For example, compute services are billed per hour.
40	chargeType	Indicates whether the charge represents usage (Usage), a purchase (Purchase), or a refund (Refund).
41	billingCurrency	Currency associated with the billing account.
42	pricingCurrency	Currency used when rating based on negotiated prices.
43	costInBillingCurrency	Cost of the charge in the billing currency before credits or taxes.
44	costInPricingCurrency	Cost of the charge in the pricing currency before credits or taxes.
45	costInUsd	Cost of the charge in USD currency before credits or taxes.
46	paygCostInBillingCurrency	The amount of Pay-As-You-Go (PayG) cost before tax in billing currency. You can compute paygCostInBillingCurrency by multiplying PayGPrice, quantity and exchangeRatePricingToBilling.
47	paygCostInUsd	The amount of Pay-As-You-Go (PayG) cost before tax in USD currency. You can compute paygCostInUsd by multiplying PayGPrice and quantity.
48	exchangeRatePricingToBilling	Exchange rate used to convert the cost in the pricing currency to the billing currency.
49	exchangeRateDate	Date the exchange rate was established.
50	isAzureCreditEligible	Indicates if the charge is eligible to be paid for using Azure credits (Values: True or False).
51	serviceInfo1	Service-specific metadata.
52	serviceInfo2	Legacy field with optional service-specific metadata.
53	additionalInfo	Service-specific metadata. For example, an image type for a virtual machine.
54	tags	Tags assigned to the resource. Doesn't include resource group tags. Can be used to group or distribute costs for internal chargeback. For more information, see Organize your Azure resources with tags.
55	PayGPrice	The market price, also referred to as retail or list price, for a given product or service. For more information, see Pricing behavior in cost details.
56	frequency	Indicates whether a charge is expected to repeat. Charges can either happen once (OneTime), repeat on a monthly or yearly basis (Recurring), or be based on usage (UsageBased).
57	term	Displays the term for the validity of the offer. For example: For reserved instances, it displays 12 months as the Term. For one-time purchases or recurring purchases, Term is one month (SaaS, Marketplace Support). Not applicable for Azure consumption.
58	reservationId	Unique identifier for the purchased reservation instance.
59	reservationName	Name of the purchased reservation instance.
60	PricingModel	Identifier that indicates how the meter is priced. (Values: On Demand, Reservation, Spot, and SavingsPlan)
61	unitPrice	The price for a given product or service inclusive of any negotiated discount that you might have on top of the market price (PayG price column) for your contract. For more information, see Pricing behavior in cost details.
62	costAllocationRuleName	Name of the Cost Allocation rule that's applicable to the record.
63	benefitId	Unique identifier for the purchased savings plan instance.
64	benefitName	Unique identifier for the purchased savings plan instance.
65	provider	Identifier for product category or Line of Business. For example, Azure and Microsoft 365.
